time,nodeID,positionX,positionY,positionZ,quality
2026-01-13T23:16:13.306433,49a2,NaN,NaN,NaN,0
2026-01-13T23:16:13.317509,87b0,19.704615,25.328749,-1.0357835,34
2026-01-13T23:16:13.320416,d284,NaN,NaN,NaN,0
2026-01-13T23:16:13.321684,d43a,20.187075,26.236759,-0.80929273,97
2026-01-13T23:16:13.323532,87b0,19.706495,25.328375,-1.1611254,36
2026-01-13T23:16:13.325341,d284,NaN,NaN,NaN,0
2026-01-13T23:16:13.326684,d43a,NaN,NaN,NaN,0
2026-01-13T23:16:13.328137,cf06,16.152567,24.781944,1.3588433,44
2026-01-13T23:16:13.329458,87b0,19.713152,25.320183,-0.48155847,37
2026-01-13T23:16:13.330495,5720,13.764359,13.116891,0.24820669,94
2026-01-13T23:16:13.331478,d43a,20.312193,26.19865,-0.4196513,97
2026-01-13T23:16:13.332728,4110,9.1499662,11.481385,1.0542573,99
2026-01-13T23:16:13.422668,d238,NaN,NaN,NaN,0
2026-01-13T23:16:13.448693,5720,13.765466,13.087951,-0.11868962,94
2026-01-13T23:16:13.450186,4110,9.1588554,11.42631,1.2071601,96
2026-01-13T23:16:13.451485,4110,9.1588554,11.42631,1.2071601,96
2026-01-13T23:16:13.452805,d2ad,NaN,NaN,NaN,0
2026-01-13T23:16:13.453968,87b0,19.706495,25.328375,-1.1611254,36
2026-01-13T23:16:13.454980,49a2,NaN,NaN,NaN,0
2026-01-13T23:16:13.455950,d43a,NaN,NaN,NaN,0
2026-01-13T23:16:13.458651,5720,13.764359,13.116891,0.24820669,94
2026-01-13T23:16:13.460426,87b0,19.713152,25.320183,-0.48155847,37
2026-01-13T23:16:13.461802,d284,NaN,NaN,NaN,0
2026-01-13T23:16:13.462920,4110,9.1499662,11.481385,1.0542573,99
2026-01-13T23:16:13.463963,87b0,19.71353,25.341684,-0.75918609,35
2026-01-13T23:16:13.465377,4110,9.1499662,11.481385,1.0542573,99
2026-01-13T23:16:13.466655,d43a,20.312193,26.19865,-0.4196513,97
2026-01-13T23:16:13.467659,d284,NaN,NaN,NaN,0
2026-01-13T23:16:13.468824,1bb3,NaN,NaN,NaN,0
2026-01-13T23:16:13.470305,cf06,16.169956,24.781666,1.5012928,43
2026-01-13T23:16:13.471400,d43a,NaN,NaN,NaN,0
2026-01-13T23:16:13.472334,cf06,16.162144,24.781561,1.5970055,43
2026-01-13T23:16:13.473300,49a2,NaN,NaN,NaN,0
2026-01-13T23:16:13.474298,5720,13.761618,13.139105,0.46955207,95
2026-01-13T23:16:13.475225,4110,9.02667,11.51719,1.1520633,96
2026-01-13T23:16:13.476210,d2ad,NaN,NaN,NaN,0
2026-01-13T23:16:13.522590,d238,NaN,NaN,NaN,0
2026-01-13T23:16:13.568603,49a2,NaN,NaN,NaN,0
2026-01-13T23:16:13.570042,87b0,19.732443,25.350979,-0.97200084,35
2026-01-13T23:16:13.571921,5720,13.722629,13.179006,0.74523568,93
2026-01-13T23:16:13.573551,d284,NaN,NaN,NaN,0
2026-01-13T23:16:13.574771,4110,8.9408712,11.541871,1.2940733,95
2026-01-13T23:16:13.575778,1bb3,NaN,NaN,NaN,0
2026-01-13T23:16:13.576679,d43a,20.417667,26.217117,-0.22949904,97
2026-01-13T23:16:13.577634,cf06,16.175709,24.783005,1.7018188,41
2026-01-13T23:16:13.622777,87b0,NaN,NaN,NaN,0
2026-01-13T23:16:13.669702,4c0f,NaN,NaN,NaN,0
